study_id,site_id,latitude,longitude,startDate,endDate,refYear
JdA,0_26,37.56,-7.5,2023-01-01,2019,2019
JdA,1_24,37.44,-7.44,2023-01-01,2019,2019
JdA,1_25,37.5,-7.44,2023-01-01,2019,2019
JdA,1_26,37.56,-7.44,2023-01-01,2019,2019
JdA,1_27,37.62,-7.44,2023-01-01,2019,2019
JdA,1_28,37.68,-7.44,2023-01-01,2019,2019
JdA,2_20,37.2,-7.38,2023-01-01,2019,2019
JdA,2_21,37.26,-7.38,2023-01-01,2019,2019
JdA,2_22,37.32,-7.38,2023-01-01,2019,2019
JdA,2_23,37.38,-7.38,2023-01-01,2019,2019
JdA,2_24,37.44,-7.38,2023-01-01,2019,2019
JdA,2_25,37.5,-7.38,2023-01-01,2019,2019
JdA,2_26,37.56,-7.38,2023-01-01,2019,2019
JdA,2_27,37.62,-7.38,2023-01-01,2019,2019
JdA,2_28,37.68,-7.38,2023-01-01,2019,2019
JdA,2_29,37.74,-7.38,2023-01-01,2019,2019
JdA,3_20,37.2,-7.32,2023-01-01,2019,2019
JdA,3_21,37.26,-7.32,2023-01-01,2019,2019
JdA,3_22,37.32,-7.32,2023-01-01,2019,2019
JdA,3_23,37.38,-7.32,2023-01-01,2019,2019
JdA,3_24,37.44,-7.32,2023-01-01,2019,2019
JdA,3_25,37.5,-7.32,2023-01-01,2019,2019
JdA,3_26,37.56,-7.32,2023-01-01,2019,2019
JdA,3_27,37.62,-7.32,2023-01-01,2019,2019
JdA,3_28,37.68,-7.32,2023-01-01,2019,2019
JdA,3_29,37.74,-7.32,2023-01-01,2019,2019
JdA,3_30,37.8,-7.32,2023-01-01,2019,2019
JdA,4_21,37.26,-7.26,2023-01-01,2019,2019
JdA,4_22,37.32,-7.26,2023-01-01,2019,2019
JdA,4_23,37.38,-7.26,2023-01-01,2019,2019
JdA,4_24,37.44,-7.26,2023-01-01,2019,2019
JdA,4_25,37.5,-7.26,2023-01-01,2019,2019
JdA,4_26,37.56,-7.26,2023-01-01,2019,2019
JdA,4_27,37.62,-7.26,2023-01-01,2019,2019
JdA,4_28,37.68,-7.26,2023-01-01,2019,2019
JdA,4_29,37.74,-7.26,2023-01-01,2019,2019
JdA,4_30,37.8,-7.26,2023-01-01,2019,2019
JdA,4_31,37.86,-7.26,2023-01-01,2019,2019
JdA,4_32,37.92,-7.26,2023-01-01,2019,2019
JdA,5_21,37.26,-7.2,2023-01-01,2019,2019
JdA,5_22,37.32,-7.2,2023-01-01,2019,2019
JdA,5_23,37.38,-7.2,2023-01-01,2019,2019
JdA,5_24,37.44,-7.2,2023-01-01,2019,2019
JdA,5_25,37.5,-7.2,2023-01-01,2019,2019
JdA,5_26,37.56,-7.2,2023-01-01,2019,2019
JdA,5_27,37.62,-7.2,2023-01-01,2019,2019
JdA,5_28,37.68,-7.2,2023-01-01,2019,2019
JdA,5_29,37.74,-7.2,2023-01-01,2019,2019
JdA,5_30,37.8,-7.2,2023-01-01,2019,2019
